,시가,고가,저가,종가,거래량,거래대금,등락률,날짜,종목코드,종목명,BPS,PER,PBR,EPS,DIV,DPS
104,0,0,0,0,0,0,0.0,20231231,051915,LG화학우,0.0,0.0,0.0,0.0,0.0,0.0
105,0,0,0,0,0,0,0.0,20231231,079550,LIG넥스원,0.0,0.0,0.0,0.0,0.0,0.0
106,0,0,0,0,0,0,0.0,20231231,006260,LS,0.0,0.0,0.0,0.0,0.0,0.0
107,0,0,0,0,0,0,0.0,20231231,010120,LS ELECTRIC,0.0,0.0,0.0,0.0,0.0,0.0
108,0,0,0,0,0,0,0.0,20231231,000680,LS네트웍스,0.0,0.0,0.0,0.0,0.0,0.0
109,0,0,0,0,0,0,0.0,20231231,229640,LS에코에너지,0.0,0.0,0.0,0.0,0.0,0.0
110,0,0,0,0,0,0,0.0,20231231,108320,LX세미콘,0.0,0.0,0.0,0.0,0.0,0.0
111,0,0,0,0,0,0,0.0,20231231,001120,LX인터내셔널,0.0,0.0,0.0,0.0,0.0,0.0
112,0,0,0,0,0,0,0.0,20231231,108670,LX하우시스,0.0,0.0,0.0,0.0,0.0,0.0
113,0,0,0,0,0,0,0.0,20231231,108675,LX하우시스우,0.0,0.0,0.0,0.0,0.0,0.0
114,0,0,0,0,0,0,0.0,20231231,383800,LX홀딩스,0.0,0.0,0.0,0.0,0.0,0.0
115,0,0,0,0,0,0,0.0,20231231,38380K,LX홀딩스1우,0.0,0.0,0.0,0.0,0.0,0.0
116,0,0,0,0,0,0,0.0,20231231,023150,MH에탄올,0.0,0.0,0.0,0.0,0.0,0.0
117,0,0,0,0,0,0,0.0,20231231,035420,NAVER,0.0,0.0,0.0,0.0,0.0,0.0
118,0,0,0,0,0,0,0.0,20231231,181710,NHN,0.0,0.0,0.0,0.0,0.0,0.0
119,0,0,0,0,0,0,0.0,20231231,005940,NH투자증권,0.0,0.0,0.0,0.0,0.0,0.0
120,0,0,0,0,0,0,0.0,20231231,005945,NH투자증권우,0.0,0.0,0.0,0.0,0.0,0.0
121,0,0,0,0,0,0,0.0,20231231,034310,NICE,0.0,0.0,0.0,0.0,0.0,0.0
122,0,0,0,0,0,0,0.0,20231231,030190,NICE평가정보,0.0,0.0,0.0,0.0,0.0,0.0
123,0,0,0,0,0,0,0.0,20231231,008260,NI스틸,0.0,0.0,0.0,0.0,0.0,0.0
124,0,0,0,0,0,0,0.0,20231231,004250,NPC,0.0,0.0,0.0,0.0,0.0,0.0
125,0,0,0,0,0,0,0.0,20231231,004255,NPC우,0.0,0.0,0.0,0.0,0.0,0.0
126,0,0,0,0,0,0,0.0,20231231,456040,OCI,0.0,0.0,0.0,0.0,0.0,0.0
127,0,0,0,0,0,0,0.0,20231231,010060,OCI홀딩스,0.0,0.0,0.0,0.0,0.0,0.0
128,0,0,0,0,0,0,0.0,20231231,178920,PI첨단소재,0.0,0.0,0.0,0.0,0.0,0.0
129,0,0,0,0,0,0,0.0,20231231,005490,POSCO홀딩스,0.0,0.0,0.0,0.0,0.0,0.0
130,0,0,0,0,0,0,0.0,20231231,010950,S-Oil,0.0,0.0,0.0,0.0,0.0,0.0
131,0,0,0,0,0,0,0.0,20231231,010955,S-Oil우,0.0,0.0,0.0,0.0,0.0,0.0
132,0,0,0,0,0,0,0.0,20231231,034120,SBS,0.0,0.0,0.0,0.0,0.0,0.0
